"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"TRINITY_DN19370_c0_g1_i1" 27.4104312663922 1.57485133841855 0.405444705247658 3.88425676309323 0.000102643391798318 0.0107200136313001
"TRINITY_DN19589_c0_g1_i1" 32.7413598995146 -1.44130619773047 0.427347215253791 -3.37268185279857 0.00074439911176488 0.0391690311251551
"TRINITY_DN19657_c0_g2_i1" 318.779204523624 1.07879118604252 0.307788984798347 3.50497009095148 0.000456658581928261 0.028269744292605
"TRINITY_DN19812_c0_g1_i1" 49.3203052670716 0.752404117094361 0.219343507508292 3.43025478912759 0.000603014728734566 0.0339058616101869
"TRINITY_DN20143_c0_g2_i1" 535.070416752945 -0.76375803031198 0.183163645668862 -4.16981234197949 3.04850553291147e-05 0.00512520698496556
"TRINITY_DN20330_c0_g2_i2" 19.265127115882 4.36784561809307 1.02129503806362 4.27677160399657 1.89623170929436e-05 0.00396082580974728
"TRINITY_DN20456_c0_g1_i5" 2539.15785547407 -0.640389994210667 0.195384687540911 -3.27758537411781 0.00104699063420269 0.0481127096103945
"TRINITY_DN20857_c0_g1_i1" 24.3229387560392 -0.938924739129335 0.227820369489827 -4.1213379700504 3.76678352969613e-05 0.00590100883413533
"TRINITY_DN209_c0_g1_i1" 19.7679314870269 2.24074694350203 0.638268542676773 3.51066485919042 0.000446987546468197 0.028269744292605
"TRINITY_DN21047_c0_g2_i1" 225.4268006041 1.0906132571837 0.239126988461715 4.56081207813273 5.0956168989638e-06 0.00150055184358535
"TRINITY_DN21366_c0_g1_i1" 225.325997153563 1.52641163306774 0.390607483776643 3.90778901189864 9.31445900749791e-05 0.0100056233093777
"TRINITY_DN217_c0_g1_i1" 8.12682846462849 1.87951667903438 0.574018008229293 3.27431657559356 0.00105917877432545 0.0483504588836113
"TRINITY_DN21945_c3_g3_i1" 7804.48645641446 -1.24537894764717 0.286782524402772 -4.34259008717734 1.40812715047771e-05 0.0031310388542719
"TRINITY_DN21966_c0_g1_i1" 113.091243886664 5.55920146968251 0.854788967906843 6.50359524795407 7.84227274640519e-11 1.80189286803237e-07
"TRINITY_DN22004_c0_g1_i1" 26.1057242805506 -0.965876414101755 0.244111585318218 -3.95670042797297 7.59921314816703e-05 0.00935381718398487
"TRINITY_DN22666_c0_g2_i1" 1056.19051208671 0.647210145837745 0.198190583905713 3.26559482838825 0.00109234423807722 0.0487171892278367
"TRINITY_DN22952_c0_g1_i8" 35.6934697348193 1.97672706415348 0.45142118098707 4.37889746296617 1.19281234327204e-05 0.00293644838649077
"TRINITY_DN23019_c0_g2_i1" 44.9318820565188 -0.992878268672022 0.283860254545566 -3.49777136028265 0.000469163155632051 0.0286189524935551
"TRINITY_DN23063_c0_g2_i2" 8.68933659768985 2.67188741701572 0.759728284388266 3.51689870170771 0.000436620377140347 0.0281273295292375
"TRINITY_DN23110_c0_g1_i1" 231.972458387257 1.15293494093014 0.292212417212151 3.9455371264839 7.96212933934623e-05 0.00946257888553682
"TRINITY_DN23220_c0_g1_i1" 13.0800277271592 2.19863964311072 0.525077080145724 4.18727026230232 2.82329563295175e-05 0.00498999405075293
"TRINITY_DN23277_c0_g1_i1" 11.7184213346042 1.52390959963573 0.387989128503194 3.92771211274591 8.57577770145926e-05 0.00985213928269311
"TRINITY_DN23337_c1_g1_i1" 17.1053011323969 2.87619012900648 0.820968119241862 3.50341269239851 0.000459337205972982 0.028269744292605
"TRINITY_DN23476_c1_g1_i6" 260.626358964012 0.489290620321563 0.146164089959451 3.34754330189653 0.000815312493264381 0.040713858792984
"TRINITY_DN23527_c0_g1_i2" 8.10227411217958 2.77378989006907 0.82557114812523 3.35984354149004 0.000779866242659636 0.0400756739837456
"TRINITY_DN23546_c0_g1_i2" 250.3407784595 -0.43418326897414 0.103585187547481 -4.19155749247567 2.77045960280564e-05 0.00498999405075293
"TRINITY_DN23933_c0_g1_i2" 271.283513520578 0.890109246562638 0.271076183594806 3.28361287501796 0.00102485594828554 0.0477319733211637
"TRINITY_DN24002_c0_g1_i1" 42.7100699495708 2.28709106837925 0.565996559527919 4.04082150302617 5.3264288964204e-05 0.00734301487660516
"TRINITY_DN24105_c0_g1_i1" 32.5073837485984 1.79934166799614 0.340650172431181 5.28208060237999 1.27724978562148e-07 7.33673564357403e-05
"TRINITY_DN24123_c1_g1_i1" 9.40752579191555 -1.80812242535097 0.528822550553392 -3.41914773388321 0.000628176107292468 0.0343652214886268
"TRINITY_DN24222_c0_g1_i2" 55.7986155116638 1.35115896383191 0.397697915628388 3.39745045356094 0.000680169036175562 0.0363442260957996
"TRINITY_DN24243_c0_g2_i2" 19.2827527693498 1.36386462674924 0.348595374640955 3.91245761121758 9.13615784794785e-05 0.0100056233093777
"TRINITY_DN24243_c1_g1_i1" 38.5489818727327 1.21134903337958 0.359557697835658 3.36899763423574 0.000754420763671108 0.0393956236665526
"TRINITY_DN24541_c1_g1_i2" 11.4648397962782 2.85633440724035 0.828674588949507 3.44687099777159 0.0005671193092737 0.0332293200621282
"TRINITY_DN24639_c0_g2_i2" 23.488604499499 -1.37314409010362 0.357857632642151 -3.83712394218158 0.000124483653149362 0.0119175808494244
"TRINITY_DN24715_c0_g2_i2" 22.0111119428171 2.42142097811824 0.626153003264287 3.86713944594179 0.000110119466219003 0.011162551185994
"TRINITY_DN24788_c0_g1_i1" 19.1098267968816 1.25798710060518 0.384441222614623 3.2722482049388 0.00106695863187974 0.0483851700628093
"TRINITY_DN25037_c2_g1_i8" 84.8076217998439 -2.16194562773611 0.61857757908044 -3.49502746438046 0.000474012976622009 0.0286611530513641
"TRINITY_DN25147_c0_g1_i1" 21.2307165169241 1.6660496569194 0.474700051168181 3.50968922969241 0.000448630705382397 0.028269744292605
"TRINITY_DN25193_c1_g1_i1" 159.201647107968 -0.483806390742001 0.121415711239925 -3.98470993416965 6.75626041371366e-05 0.00862424130217191
"TRINITY_DN25203_c0_g3_i1" 13.077989738936 4.22134989428316 0.628083677858545 6.7209991965973 1.80482589829138e-11 1.12291182889555e-07
"TRINITY_DN2521_c0_g3_i1" 55.0262502719089 3.69697559090996 0.698891573169875 5.28976987680944 1.22470350721573e-07 7.33673564357403e-05
"TRINITY_DN25264_c0_g1_i1" 20.7867685318031 -0.90696303363415 0.248027464536538 -3.6567040481944 0.000255479056745282 0.0189356681520993
"TRINITY_DN25360_c0_g2_i1" 15.169208668245 1.512598071958 0.408370259199643 3.70398685477858 0.00021223726092048 0.016624448176419
